Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Afghanistan,AFG,1990,,,14.156407,53.333,58.45,48.216
Afghanistan,AFG,1991,,,33.066025,53.333,58.45,48.216
Afghanistan,AFG,1992,,,36.210022,39.0,46.761,31.239
Afghanistan,AFG,1993,,,29.25642,41.0,48.74,33.26
Afghanistan,AFG,1994,,,58.58733,41.0,48.74,33.26
Afghanistan,AFG,1995,,,34.16792,54.0,64.921,43.079
Afghanistan,AFG,1996,,,20.89252,83.667,86.488,80.845
Afghanistan,AFG,1997,,,37.77092,83.667,86.488,80.845
Afghanistan,AFG,1998,,,65.72169,83.667,86.488,80.845
Afghanistan,AFG,1999,,,26.340853,83.667,86.488,80.845
Afghanistan,AFG,2000,,,27.564877,85.0,88.323,81.677
Afghanistan,AFG,2001,,,28.20409,85.0,88.323,81.677
Afghanistan,AFG,2002,,,5.3856483,73.667,79.865,67.135
Afghanistan,AFG,2003,,,4.0715146,72.417,77.142,67.358
Afghanistan,AFG,2004,,,3.4347258,72.417,77.142,67.358
Afghanistan,AFG,2005,,,6.964018,72.417,77.142,67.358
Afghanistan,AFG,2006,,,19.486736,69.042,74.487,63.513
Afghanistan,AFG,2007,,,26.679993,67.833,72.908,62.258
Afghanistan,AFG,2008,,,21.356781,65.583,70.334,60.166
Afghanistan,AFG,2009,4.0715265,Low,23.691534,64.583,69.746,59.42
Afghanistan,AFG,2010,3.4870927,Low,25.367447,64.5,69.597,58.903
Afghanistan,AFG,2011,4.208668,Low,25.846899,64.167,69.242,59.091
Afghanistan,AFG,2012,6.393913,Medium,25.450918,65.583,70.818,60.016
Afghanistan,AFG,2013,,,25.693365,63.182,68.287,57.895
Afghanistan,AFG,2014,,,38.2043,62.818,67.815,57.821
Afghanistan,AFG,2015,9.975262,Medium,53.108566,59.091,64.584,53.416
Afghanistan,AFG,2016,6.6924186,Medium,53.914673,56.222,62.212,50.455
Afghanistan,AFG,2017,6.8006945,Medium,55.384697,53.444,59.283,47.606
Afghanistan,AFG,2018,6.7435727,Medium,73.11079,55.143,61.567,47.862
Afghanistan,AFG,2019,7.180397,Medium,80.469696,52.667,59.361,45.973
Afghanistan,AFG,2020,6.594439,Medium,53.391857,43.667,48.71,38.623
Afghanistan,AFG,2021,4.0224977,Low,90.69948,91.877,95.651,88.103
Albania,ALB,1990,,,0.0,98.0,99.754,96.246
Albania,ALB,1991,,,0.0,89.0,95.056,82.944
Albania,ALB,1992,3.9349356,Low,0.0,89.0,95.056,82.944
Albania,ALB,1993,5.786633,Medium,0.0,89.0,95.056,82.944
Albania,ALB,1994,3.400123,Low,0.0,89.0,95.056,82.944
Albania,ALB,1995,7.8858495,Medium,0.0,89.0,95.056,82.944
Albania,ALB,1996,8.314658,Medium,0.0,89.0,95.056,82.944
Albania,ALB,1997,40.999237,Very High,0.0,70.0,86.768,53.232
Albania,ALB,1998,20.419683,Very High,0.0,91.5,98.239,84.761
Albania,ALB,1999,16.582197,High,0.6857289,94.75,98.637,90.863
Albania,ALB,2000,4.116881,Low,0.0,94.75,98.637,90.863
Albania,ALB,2001,6.9761276,Medium,0.0,94.75,98.637,90.863
Albania,ALB,2002,6.9152064,Medium,0.0,94.75,98.637,90.863
Albania,ALB,2003,5.3669734,Medium,0.0,98.0,99.106,96.894
Albania,ALB,2004,4.27738,Low,0.0,98.0,99.106,96.894
