Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon
Afghanistan,AFG,2009,4.0715265,Low
Afghanistan,AFG,2010,3.4870927,Low
Afghanistan,AFG,2011,4.208668,Low
Afghanistan,AFG,2012,6.393913,Medium
Afghanistan,AFG,2015,9.975262,Medium
Afghanistan,AFG,2016,6.6924186,Medium
Afghanistan,AFG,2017,6.8006945,Medium
Afghanistan,AFG,2018,6.7435727,Medium
Afghanistan,AFG,2019,7.180397,Medium
Afghanistan,AFG,2020,6.594439,Medium
Afghanistan,AFG,2021,4.0224977,Low
Albania,ALB,1992,3.9349356,Low
Albania,ALB,1993,5.786633,Medium
Albania,ALB,1994,3.400123,Low
Albania,ALB,1995,7.8858495,Medium
Albania,ALB,1996,8.314658,Medium
Albania,ALB,1997,40.999237,Very High
Albania,ALB,1998,20.419683,Very High
Albania,ALB,1999,16.582197,High
Albania,ALB,2000,4.116881,Low
Albania,ALB,2001,6.9761276,Medium
Albania,ALB,2002,6.9152064,Medium
Albania,ALB,2003,5.3669734,Medium
Albania,ALB,2004,4.27738,Low
Albania,ALB,2005,5.078094,Medium
Albania,ALB,2006,3.1630955,Low
Albania,ALB,2007,3.5281267,Low
Albania,ALB,2008,3.1507385,Low
Albania,ALB,2009,2.900488,Low
Albania,ALB,2010,4.0845757,Low
Albania,ALB,2011,4.8954477,Low
Albania,ALB,2012,5.4284067,Medium
Albania,ALB,2013,4.2950954,Low
Albania,ALB,2014,4.64616,Low
Albania,ALB,2015,2.22031,Low
Albania,ALB,2016,2.7420435,Low
Albania,ALB,2017,2.01434,Low
Albania,ALB,2018,2.294046,Low
Albania,ALB,2019,2.2617478,Low
Albania,ALB,2020,2.127772,Low
Albania,ALB,2021,2.3119686,Low
Algeria,DZA,2006,0.93315166,Undefined
Algeria,DZA,2007,0.79743814,Undefined
Algeria,DZA,2008,0.94881076,Undefined
Algeria,DZA,2009,0.78702044,Undefined
Algeria,DZA,2010,0.7083823,Undefined
Algeria,DZA,2011,0.76620924,Undefined
Algeria,DZA,2012,1.4036288,Very Low
Algeria,DZA,2013,1.2631371,Very Low
Algeria,DZA,2014,1.4886416,Very Low
Algeria,DZA,2015,1.38077,Very Low
Algeria,DZA,2016,1.343602,Very Low
Algeria,DZA,2017,1.2738065,Very Low
Algeria,DZA,2018,1.3547354,Very Low
Algeria,DZA,2019,1.2153039,Very Low
Algeria,DZA,2020,1.5051206,Very Low
Algeria,DZA,2021,1.5731823,Very Low
Angola,AGO,2011,4.3488812,Low
Angola,AGO,2012,4.8316097,Low
Angola,AGO,2015,4.4582353,Low
Angola,AGO,2016,4.102248,Low
Argentina,ARG,2001,8.348343,Medium
Argentina,ARG,2002,9.423247,Medium
Argentina,ARG,2003,7.7511554,Medium
Argentina,ARG,2004,6.046219,Medium
Argentina,ARG,2005,5.6257277,Medium
Argentina,ARG,2006,5.347438,Medium
Argentina,ARG,2007,5.364114,Medium
Argentina,ARG,2008,5.8872066,Medium
Argentina,ARG,2009,6.4938993,Medium
Argentina,ARG,2010,5.8004694,Medium
Argentina,ARG,2011,6.0475802,Medium
Argentina,ARG,2012,6.3119206,Medium
Argentina,ARG,2013,7.247288,Medium
Argentina,ARG,2014,7.53782,Medium
Argentina,ARG,2015,6.558466,Medium
Argentina,ARG,2016,6.011234,Medium
Argentina,ARG,2017,5.259381,Medium
Argentina,ARG,2018,5.367726,Medium
Argentina,ARG,2019,5.155823,Medium
Argentina,ARG,2020,5.3668137,Medium
Argentina,ARG,2021,4.6226788,Low
Armenia,ARM,1990,5.004865,Medium
Armenia,ARM,1991,5.141486,Medium
Armenia,ARM,1992,8.53253,Medium
Armenia,ARM,1993,7.7516026,Medium
Armenia,ARM,1994,4.653626,Low
Armenia,ARM,1995,3.49105,Low
Armenia,ARM,1996,3.4557,Low
Armenia,ARM,1997,3.0567784,Low
Armenia,ARM,1998,2.8698833,Low
Armenia,ARM,1999,2.8072107,Low
Armenia,ARM,2000,2.8720002,Low
Armenia,ARM,2001,2.8086898,Low
Armenia,ARM,2002,2.2221954,Low
Armenia,ARM,2004,2.7073355,Low
Armenia,ARM,2005,1.903358,Very Low
Armenia,ARM,2006,2.6102874,Low
Armenia,ARM,2007,2.5629137,Low
Armenia,ARM,2008,3.2513018,Low
Armenia,ARM,2009,3.2722774,Low
Armenia,ARM,2010,1.9006935,Very Low
Armenia,ARM,2011,2.4240553,Low
Armenia,ARM,2012,2.2302885,Low
Armenia,ARM,2013,2.1713772,Low
Armenia,ARM,2014,2.4914103,Low
Armenia,ARM,2015,2.6054382,Low
Armenia,ARM,2016,3.0357645,Low
Armenia,ARM,2017,2.4544842,Low
Armenia,ARM,2018,1.7627003,Very Low
Armenia,ARM,2019,2.5881004,Low
Armenia,ARM,2020,1.8534304,Very Low
Armenia,ARM,2021,2.1856172,Low
Australia,AUS,1990,2.1938055,Low
Australia,AUS,1991,1.9686081,Very Low
Australia,AUS,1992,1.7236933,Very Low
Australia,AUS,1993,1.888664,Very Low
Australia,AUS,1994,1.7971971,Very Low
Australia,AUS,1995,1.9774483,Very Low
Australia,AUS,1996,1.9437898,Very Low
Australia,AUS,1997,1.9771594,Very Low
Australia,AUS,1998,1.795538,Very Low
Australia,AUS,1999,2.0477753,Low
Australia,AUS,2000,1.9034636,Very Low
Australia,AUS,2001,1.8027713,Very Low
Australia,AUS,2002,1.879251,Very Low
Australia,AUS,2003,1.5330728,Very Low
Australia,AUS,2004,1.319946,Very Low
Australia,AUS,2005,1.2839751,Very Low
Australia,AUS,2006,1.3729398,Very Low
Australia,AUS,2007,1.2241472,Very Low
Australia,AUS,2008,1.2283583,Very Low
Australia,AUS,2009,1.2141697,Very Low
Australia,AUS,2010,1.049086,Very Low
Australia,AUS,2011,1.1092706,Very Low
Australia,AUS,2012,1.0691061,Very Low
Australia,AUS,2013,1.0600654,Very Low
Australia,AUS,2014,1.0353829,Very Low
Australia,AUS,2015,0.99075425,Undefined
Australia,AUS,2016,0.9381832,Undefined
Australia,AUS,2017,0.84586084,Undefined
Australia,AUS,2018,0.88473505,Undefined
Australia,AUS,2019,0.887323,Undefined
Australia,AUS,2020,0.86092544,Undefined
Australia,AUS,2021,0.74456745,Undefined
Austria,AUT,1990,1.1590459,Very Low
Austria,AUT,1991,1.3280661,Very Low
Austria,AUT,1992,1.2371161,Very Low
Austria,AUT,1993,1.0119822,Very Low
Austria,AUT,1994,1.1089597,Very Low
Austria,AUT,1995,0.98146594,Undefined
Austria,AUT,1996,1.2440248,Very Low
Austria,AUT,1997,0.8284075,Undefined
Austria,AUT,1998,0.9654129,Undefined
Austria,AUT,1999,0.7508093,Undefined
Austria,AUT,2000,1.0236655,Very Low
Austria,AUT,2001,0.8706873,Undefined
Austria,AUT,2002,0.80455583,Undefined
Austria,AUT,2003,0.6157557,Undefined
Austria,AUT,2004,0.72204673,Undefined
Austria,AUT,2005,0.6563726,Undefined
Austria,AUT,2006,0.7378053,Undefined
Austria,AUT,2007,0.54251367,Undefined
Austria,AUT,2008,0.6970206,Undefined
Austria,AUT,2009,0.61129564,Undefined
Austria,AUT,2010,0.7294182,Undefined
Austria,AUT,2011,0.91762805,Undefined
Austria,AUT,2012,0.96089554,Undefined
Austria,AUT,2013,0.7193787,Undefined
Austria,AUT,2014,0.4914542,Undefined
Austria,AUT,2015,0.5091166,Undefined
Austria,AUT,2016,0.6180974,Undefined
Austria,AUT,2017,0.79568094,Undefined
Austria,AUT,2018,0.9727943,Undefined
Austria,AUT,2019,0.867123,Undefined
Austria,AUT,2020,0.72969943,Undefined
Austria,AUT,2021,0.7285295,Undefined
Azerbaijan,AZE,1990,4.4292846,Low
Azerbaijan,AZE,1991,4.7358365,Low
Azerbaijan,AZE,1992,7.378975,Medium
Azerbaijan,AZE,1993,6.1756253,Medium
Azerbaijan,AZE,1994,6.379541,Medium
Azerbaijan,AZE,1995,5.615179,Medium
Azerbaijan,AZE,1996,5.0320153,Medium
Azerbaijan,AZE,1997,3.5499728,Low
Azerbaijan,AZE,1998,3.4821126,Low
Azerbaijan,AZE,1999,2.9871197,Low
Azerbaijan,AZE,2000,2.759349,Low
Azerbaijan,AZE,2001,2.6322072,Low
Azerbaijan,AZE,2002,2.532212,Low
Azerbaijan,AZE,2007,2.1287594,Low
Azerbaijan,AZE,2008,2.1334054,Low
Azerbaijan,AZE,2010,2.2301123,Low
Azerbaijan,AZE,2011,2.2545109,Low
Azerbaijan,AZE,2012,2.129549,Low
Azerbaijan,AZE,2013,2.2986166,Low
Azerbaijan,AZE,2014,2.4225302,Low
Azerbaijan,AZE,2015,2.1392045,Low
Azerbaijan,AZE,2016,1.6940236,Very Low
