Entity,Code,Year,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,"Homicide rate per 100,000 population - Both sexes - All ages",terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Afghanistan,AFG,2009,23.691534,4.0715265,64.583,69.746,59.42
Afghanistan,AFG,2010,25.367447,3.4870927,64.5,69.597,58.903
Afghanistan,AFG,2011,25.846899,4.208668,64.167,69.242,59.091
Afghanistan,AFG,2012,25.450918,6.393913,65.583,70.818,60.016
Afghanistan,AFG,2015,53.108566,9.975262,59.091,64.584,53.416
Afghanistan,AFG,2016,53.914673,6.6924186,56.222,62.212,50.455
Afghanistan,AFG,2017,55.384697,6.8006945,53.444,59.283,47.606
Afghanistan,AFG,2018,73.11079,6.7435727,55.143,61.567,47.862
Afghanistan,AFG,2019,80.469696,7.180397,52.667,59.361,45.973
Afghanistan,AFG,2020,53.391857,6.594439,43.667,48.71,38.623
Afghanistan,AFG,2021,90.69948,4.0224977,91.877,95.651,88.103
Albania,ALB,1992,0.0,3.9349356,89.0,95.056,82.944
Albania,ALB,1993,0.0,5.786633,89.0,95.056,82.944
Albania,ALB,1994,0.0,3.400123,89.0,95.056,82.944
Albania,ALB,1995,0.0,7.8858495,89.0,95.056,82.944
Albania,ALB,1996,0.0,8.314658,89.0,95.056,82.944
Albania,ALB,1997,0.0,40.999237,70.0,86.768,53.232
Albania,ALB,1998,0.0,20.419683,91.5,98.239,84.761
Albania,ALB,1999,0.6857289,16.582197,94.75,98.637,90.863
Albania,ALB,2000,0.0,4.116881,94.75,98.637,90.863
Albania,ALB,2001,0.0,6.9761276,94.75,98.637,90.863
Albania,ALB,2002,0.0,6.9152064,94.75,98.637,90.863
Albania,ALB,2003,0.0,5.3669734,98.0,99.106,96.894
Albania,ALB,2004,0.0,4.27738,98.0,99.106,96.894
Albania,ALB,2005,0.0,5.078094,98.0,99.106,96.894
Albania,ALB,2006,0.0,3.1630955,98.0,99.106,96.894
Albania,ALB,2007,0.0,3.5281267,98.0,99.106,96.894
Albania,ALB,2008,0.0,3.1507385,98.0,99.106,96.894
Albania,ALB,2009,0.0,2.900488,98.0,99.106,96.894
Albania,ALB,2010,0.0,4.0845757,98.0,99.106,96.894
Albania,ALB,2011,0.0,4.8954477,98.0,99.106,96.894
Albania,ALB,2012,0.0,5.4284067,98.0,99.106,96.894
Albania,ALB,2013,0.0,4.2950954,97.0,98.941,95.059
Albania,ALB,2014,0.0,4.64616,97.0,98.941,95.059
Albania,ALB,2015,0.0,2.22031,97.0,98.941,95.059
Albania,ALB,2016,0.0,2.7420435,97.0,98.941,95.059
Albania,ALB,2017,0.0,2.01434,95.143,98.658,91.627
Albania,ALB,2018,0.0,2.294046,95.857,99.21,92.505
Albania,ALB,2019,0.0,2.2617478,96.667,99.564,93.77
Albania,ALB,2020,0.0,2.127772,95.667,99.432,91.902
Albania,ALB,2021,0.0,2.3119686,93.2,98.234,88.166
Algeria,DZA,2006,0.87333417,0.93315166,88.607,94.769,80.517
Algeria,DZA,2007,1.5625075,0.79743814,88.607,94.769,80.517
Algeria,DZA,2008,0.9979869,0.94881076,88.607,94.769,80.517
Algeria,DZA,2009,1.5456284,0.78702044,88.607,94.769,80.517
Algeria,DZA,2010,0.6581819,0.7083823,88.607,94.769,80.517
Algeria,DZA,2011,0.71421635,0.76620924,88.607,94.769,80.517
Algeria,DZA,2012,0.692421,1.4036288,91.0,97.25,83.75
Algeria,DZA,2013,0.59472704,1.2631371,95.3,97.25,93.35
Algeria,DZA,2014,0.2760566,1.4886416,95.3,97.25,93.35
Algeria,DZA,2015,0.32369703,1.38077,95.3,97.25,93.35
Algeria,DZA,2016,0.21071248,1.343602,95.889,97.654,94.123
Algeria,DZA,2017,0.23823097,1.2738065,95.375,97.124,93.376
Algeria,DZA,2018,0.10732938,1.3547354,96.75,98.245,95.255
Algeria,DZA,2019,0.0,1.2153039,96.833,98.406,95.261
Algeria,DZA,2020,0.06904223,1.5051206,97.333,98.923,95.744
Algeria,DZA,2021,0.029426435,1.5731823,97.0,98.749,95.251
Angola,AGO,2011,0.0,4.3488812,90.5,94.109,86.891
Angola,AGO,2012,0.0,4.8316097,90.5,94.109,86.891
Angola,AGO,2015,0.0,4.4582353,92.5,96.098,88.569
Angola,AGO,2016,0.0788894,4.102248,92.5,96.098,88.569
Argentina,ARG,2001,0.0,8.348343,97.462,98.387,96.382
Argentina,ARG,2002,0.0,9.423247,97.462,98.387,96.382
Argentina,ARG,2003,0.0,7.7511554,97.462,98.387,96.382
Argentina,ARG,2004,0.0,6.046219,97.462,98.387,96.382
Argentina,ARG,2005,0.0,5.6257277,97.462,98.387,96.382
Argentina,ARG,2006,0.0,5.347438,97.462,98.387,96.382
Argentina,ARG,2007,0.0,5.364114,97.462,98.387,96.382
Argentina,ARG,2008,0.0,5.8872066,97.462,98.387,96.382
Argentina,ARG,2009,0.0,6.4938993,97.462,98.387,96.382
Argentina,ARG,2010,0.0,5.8004694,97.462,98.387,96.382
Argentina,ARG,2011,0.0,6.0475802,97.462,98.387,96.382
Argentina,ARG,2012,0.0,6.3119206,97.462,98.387,96.382
Argentina,ARG,2013,0.0,7.247288,97.462,98.387,96.382
Argentina,ARG,2014,0.0,7.53782,97.462,98.387,96.382
Argentina,ARG,2015,0.0,6.558466,97.462,98.387,96.382
Argentina,ARG,2016,0.0,6.011234,97.462,98.387,96.382
Argentina,ARG,2017,0.0,5.259381,96.909,98.06,95.758
