Entity,Code,Year,terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Afghanistan,AFG,1990,53.333,58.45,48.216
Afghanistan,AFG,1991,53.333,58.45,48.216
Afghanistan,AFG,1992,39.0,46.761,31.239
Afghanistan,AFG,1993,41.0,48.74,33.26
Afghanistan,AFG,1994,41.0,48.74,33.26
Afghanistan,AFG,1995,54.0,64.921,43.079
Afghanistan,AFG,1996,83.667,86.488,80.845
Afghanistan,AFG,1997,83.667,86.488,80.845
Afghanistan,AFG,1998,83.667,86.488,80.845
Afghanistan,AFG,1999,83.667,86.488,80.845
Afghanistan,AFG,2000,85.0,88.323,81.677
Afghanistan,AFG,2001,85.0,88.323,81.677
Afghanistan,AFG,2002,73.667,79.865,67.135
Afghanistan,AFG,2003,72.417,77.142,67.358
Afghanistan,AFG,2004,72.417,77.142,67.358
Afghanistan,AFG,2005,72.417,77.142,67.358
Afghanistan,AFG,2006,69.042,74.487,63.513
Afghanistan,AFG,2007,67.833,72.908,62.258
Afghanistan,AFG,2008,65.583,70.334,60.166
Afghanistan,AFG,2009,64.583,69.746,59.42
Afghanistan,AFG,2010,64.5,69.597,58.903
Afghanistan,AFG,2011,64.167,69.242,59.091
Afghanistan,AFG,2012,65.583,70.818,60.016
Afghanistan,AFG,2013,63.182,68.287,57.895
Afghanistan,AFG,2014,62.818,67.815,57.821
Afghanistan,AFG,2015,59.091,64.584,53.416
Afghanistan,AFG,2016,56.222,62.212,50.455
Afghanistan,AFG,2017,53.444,59.283,47.606
Afghanistan,AFG,2018,55.143,61.567,47.862
Afghanistan,AFG,2019,52.667,59.361,45.973
Afghanistan,AFG,2020,43.667,48.71,38.623
Afghanistan,AFG,2021,91.877,95.651,88.103
Albania,ALB,1990,98.0,99.754,96.246
Albania,ALB,1991,89.0,95.056,82.944
Albania,ALB,1992,89.0,95.056,82.944
Albania,ALB,1993,89.0,95.056,82.944
Albania,ALB,1994,89.0,95.056,82.944
Albania,ALB,1995,89.0,95.056,82.944
Albania,ALB,1996,89.0,95.056,82.944
Albania,ALB,1997,70.0,86.768,53.232
Albania,ALB,1998,91.5,98.239,84.761
Albania,ALB,1999,94.75,98.637,90.863
Albania,ALB,2000,94.75,98.637,90.863
