Entity,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon
Afghanistan,2009,4.0715265,Low
Afghanistan,2010,3.4870927,Low
Afghanistan,2011,4.208668,Low
Afghanistan,2012,6.393913,Medium
Afghanistan,2015,9.975262,Medium
Afghanistan,2016,6.6924186,Medium
Afghanistan,2017,6.8006945,Medium
Afghanistan,2018,6.7435727,Medium
Afghanistan,2019,7.180397,Medium
Afghanistan,2020,6.594439,Medium
Afghanistan,2021,4.0224977,Low
Africa (UN),2000,13.645948,High
Africa (UN),2001,13.589387,High
Africa (UN),2002,13.524751,High
Africa (UN),2003,13.095996,High
Africa (UN),2004,12.850431,High
Africa (UN),2005,12.7091255,High
Africa (UN),2006,12.759147,High
Africa (UN),2007,12.555357,High
Africa (UN),2008,12.498256,High
Africa (UN),2009,12.342634,High
Africa (UN),2010,12.226504,High
Africa (UN),2011,12.290624,High
Africa (UN),2012,12.340445,High
Africa (UN),2013,12.359684,High
Africa (UN),2014,12.483554,High
Africa (UN),2015,12.366553,High
Africa (UN),2016,12.334789,High
Africa (UN),2017,12.51506,High
Africa (UN),2018,12.317689,High
Africa (UN),2019,12.313706,High
Africa (UN),2020,12.066697,High
Africa (UN),2021,12.655763,High
Albania,1992,3.9349356,Low
Albania,1993,5.786633,Medium
Albania,1994,3.400123,Low
Albania,1995,7.8858495,Medium
Albania,1996,8.314658,Medium
Albania,1997,40.999237,Very High
Albania,1998,20.419683,Very High
Albania,1999,16.582197,High
Albania,2000,4.116881,Low
Albania,2001,6.9761276,Medium
Albania,2002,6.9152064,Medium
Albania,2003,5.3669734,Medium
Albania,2004,4.27738,Low
Albania,2005,5.078094,Medium
Albania,2006,3.1630955,Low
Albania,2007,3.5281267,Low
Albania,2008,3.1507385,Low
Albania,2009,2.900488,Low
Albania,2010,4.0845757,Low
Albania,2011,4.8954477,Low
Albania,2012,5.4284067,Medium
Albania,2013,4.2950954,Low
Albania,2014,4.64616,Low
Albania,2015,2.22031,Low
Albania,2016,2.7420435,Low
Albania,2017,2.01434,Low
Albania,2018,2.294046,Low
Albania,2019,2.2617478,Low
Albania,2020,2.127772,Low
Albania,2021,2.3119686,Low
Algeria,2006,0.93315166,Undefined
Algeria,2007,0.79743814,Undefined
Algeria,2008,0.94881076,Undefined
Algeria,2009,0.78702044,Undefined
Algeria,2010,0.7083823,Undefined
Algeria,2011,0.76620924,Undefined
Algeria,2012,1.4036288,Very Low
Algeria,2013,1.2631371,Very Low
Algeria,2014,1.4886416,Very Low
Algeria,2015,1.38077,Very Low
Algeria,2016,1.343602,Very Low
Algeria,2017,1.2738065,Very Low
Algeria,2018,1.3547354,Very Low
Algeria,2019,1.2153039,Very Low
Algeria,2020,1.5051206,Very Low
Algeria,2021,1.5731823,Very Low
American Samoa,2001,1.71456,Very Low
American Samoa,2002,12.032247,High
American Samoa,2003,5.1777253,Medium
American Samoa,2004,6.9413714,Medium
American Samoa,2005,10.479617,High
American Samoa,2006,7.037607,Medium
American Samoa,2007,1.7736,Very Low
American Samoa,2008,5.3676386,Medium
American Samoa,2009,3.6123252,Low
American Samoa,2010,9.115853,Medium
American Samoa,2011,9.206408,Medium
American Samoa,2012,3.7249844,Low
American Samoa,2013,5.6609116,Medium
American Samoa,2014,5.7453103,Medium
American Samoa,2015,7.786949,Medium
American Samoa,2016,0.0,Undefined
American Samoa,2017,14.151993,High
American Samoa,2018,26.846191,Very High
American Samoa,2019,0.0,Undefined
Americas (UN),2000,15.4731,High
Americas (UN),2001,16.230822,High
Americas (UN),2002,16.26652,High
Americas (UN),2003,16.091763,High
Americas (UN),2004,15.066501,High
Americas (UN),2005,14.792401,High
Americas (UN),2006,15.034039,High
Americas (UN),2007,14.639408,High
Americas (UN),2008,15.580241,High
Americas (UN),2009,16.307438,High
Americas (UN),2010,16.619167,High
Americas (UN),2011,16.89151,High
Americas (UN),2012,17.011108,High
Americas (UN),2013,16.498095,High
Americas (UN),2014,16.234,High
Americas (UN),2015,15.962302,High
Americas (UN),2016,16.677736,High
Americas (UN),2017,16.955256,High
Americas (UN),2018,16.380625,High
Americas (UN),2019,15.09908,High
Americas (UN),2020,15.0788355,High
Americas (UN),2021,14.964148,High
Andorra,2004,1.2998239,Very Low
Andorra,2007,0.0,Undefined
Andorra,2008,1.3148379,Very Low
Andorra,2009,0.0,Undefined
Andorra,2010,0.0,Undefined
Andorra,2011,1.4170829,Very Low
Andorra,2012,0.0,Undefined
Andorra,2013,0.0,Undefined
Andorra,2014,0.0,Undefined
Andorra,2015,0.0,Undefined
Andorra,2020,2.5740025,Low
Angola,2011,4.3488812,Low
Angola,2012,4.8316097,Low
Angola,2015,4.4582353,Low
Angola,2016,4.102248,Low
Anguilla,1990,0.0,Undefined
Anguilla,1991,11.60564,High
Anguilla,1992,0.0,Undefined
Anguilla,1993,10.963109,High
Anguilla,1994,0.0,Undefined
Anguilla,1995,10.416124,High
Anguilla,1996,0.0,Undefined
Anguilla,1997,9.870207,Medium
Anguilla,1998,0.0,Undefined
Anguilla,1999,0.0,Undefined
Anguilla,2000,9.051822,Medium
Anguilla,2001,0.0,Undefined
Anguilla,2002,17.30029,High
Anguilla,2003,17.029972,High
Anguilla,2004,8.37942,Medium
Anguilla,2005,0.0,Undefined
Anguilla,2006,40.56795,Very High
Anguilla,2007,31.937403,Very High
Anguilla,2008,7.855151,Medium
Anguilla,2009,7.724394,Medium
Anguilla,2010,0.0,Undefined
Anguilla,2011,0.0,Undefined
Anguilla,2012,37.160908,Very High
Anguilla,2013,7.29927,Medium
Anguilla,2014,28.327608,Very High
Antigua and Barbuda,1990,1.5790803,Very Low
Antigua and Barbuda,1991,4.714461,Low
Antigua and Barbuda,1992,3.0931501,Low
Antigua and Barbuda,1993,6.075934,Medium
Antigua and Barbuda,1994,7.4546757,Medium
Antigua and Barbuda,1995,10.234218,High
Antigua and Barbuda,1996,4.2981176,Low
Antigua and Barbuda,1997,1.4041493,Very Low
Antigua and Barbuda,2000,6.6617813,Medium
Antigua and Barbuda,2001,9.184544,Medium
Antigua and Barbuda,2002,6.477103,Medium
Antigua and Barbuda,2003,6.4041395,Medium
Antigua and Barbuda,2004,5.0670753,Medium
Antigua and Barbuda,2005,3.7561507,Low
Antigua and Barbuda,2006,13.59779,High
Antigua and Barbuda,2007,20.727789,Very High
Antigua and Barbuda,2008,19.218988,High
Antigua and Barbuda,2009,18.927408,High
Antigua and Barbuda,2010,7.0015755,Medium
Antigua and Barbuda,2012,11.40589,High
Antigua and Barbuda,2017,21.94932,Very High
Antigua and Barbuda,2018,13.09679,High
Antigua and Barbuda,2019,3.2567456,Low
Antigua and Barbuda,2020,9.71251,Medium
Antigua and Barbuda,2021,17.163792,High
Argentina,2001,8.348343,Medium
Argentina,2002,9.423247,Medium
Argentina,2003,7.7511554,Medium
Argentina,2004,6.046219,Medium
Argentina,2005,5.6257277,Medium
Argentina,2006,5.347438,Medium
Argentina,2007,5.364114,Medium
Argentina,2008,5.8872066,Medium
Argentina,2009,6.4938993,Medium
Argentina,2010,5.8004694,Medium
Argentina,2011,6.0475802,Medium
Argentina,2012,6.3119206,Medium
Argentina,2013,7.247288,Medium
Argentina,2014,7.53782,Medium
Argentina,2015,6.558466,Medium
Argentina,2016,6.011234,Medium
Argentina,2017,5.259381,Medium
