Country,ISO Code,Year,Echelon_Armed Conflict Deaths,Echelon_Homicide Rate,Echelon_Territorial Control,Echelon_TC Upper Est.,Echelon_TC Lower Est.
Afghanistan,AFG,2009,5,3,1,1,1
Afghanistan,AFG,2010,5,3,1,1,1
Afghanistan,AFG,2011,5,3,1,1,1
Afghanistan,AFG,2012,5,4,1,1,1
Afghanistan,AFG,2015,5,4,1,1,1
Afghanistan,AFG,2016,5,4,1,1,1
Afghanistan,AFG,2017,5,4,1,1,1
Afghanistan,AFG,2018,5,4,1,1,1
Afghanistan,AFG,2019,5,4,1,1,1
Afghanistan,AFG,2020,5,4,1,1,1
Afghanistan,AFG,2021,5,3,2,2,2
Albania,ALB,1992,1,3,1,2,1
Albania,ALB,1993,1,4,1,2,1
Albania,ALB,1994,1,3,1,2,1
Albania,ALB,1995,1,4,1,2,1
Albania,ALB,1996,1,4,1,2,1
Albania,ALB,1997,1,5,1,1,1
Albania,ALB,1998,1,5,2,3,1
Albania,ALB,1999,5,5,2,3,2
Albania,ALB,2000,1,3,2,3,2
Albania,ALB,2001,1,4,2,3,2
Albania,ALB,2002,1,4,2,3,2
Albania,ALB,2003,1,4,3,3,3
Albania,ALB,2004,1,3,3,3,3
Albania,ALB,2005,1,4,3,3,3
Albania,ALB,2006,1,3,3,3,3
Albania,ALB,2007,1,3,3,3,3
Albania,ALB,2008,1,3,3,3,3
Albania,ALB,2009,1,3,3,3,3
Albania,ALB,2010,1,3,3,3,3
Albania,ALB,2011,1,4,3,3,3
Albania,ALB,2012,1,4,3,3,3
Albania,ALB,2013,1,3,3,3,3
Albania,ALB,2014,1,4,3,3,3
Albania,ALB,2015,1,3,3,3,3
Albania,ALB,2016,1,3,3,3,3
Albania,ALB,2017,1,2,2,3,2
Albania,ALB,2018,1,3,3,3,2
Albania,ALB,2019,1,3,3,4,3
Albania,ALB,2020,1,3,3,4,2
Albania,ALB,2021,1,3,2,3,2
Algeria,DZA,2006,5,1,1,2,1
Algeria,DZA,2007,5,1,1,2,1
Algeria,DZA,2008,5,1,1,2,1
Algeria,DZA,2009,5,1,1,2,1
Algeria,DZA,2010,5,1,1,2,1
Algeria,DZA,2011,5,1,1,2,1
Algeria,DZA,2012,5,2,2,2,1
Algeria,DZA,2013,5,2,2,2,3
Algeria,DZA,2014,5,2,2,2,3
Algeria,DZA,2015,5,2,2,2,3
Algeria,DZA,2016,5,2,3,2,3
Algeria,DZA,2017,5,2,3,2,3
Algeria,DZA,2018,5,2,3,3,3
Algeria,DZA,2019,1,2,3,3,3
Algeria,DZA,2020,5,2,3,3,3
Algeria,DZA,2021,5,2,3,3,3
Angola,AGO,2011,1,3,2,1,2
Angola,AGO,2012,1,4,2,1,2
Angola,AGO,2015,1,3,2,2,2
Angola,AGO,2016,5,3,2,2,2
Argentina,ARG,2001,1,4,3,3,3
Argentina,ARG,2002,1,4,3,3,3
Argentina,ARG,2003,1,4,3,3,3
Argentina,ARG,2004,1,4,3,3,3
Argentina,ARG,2005,1,4,3,3,3
Argentina,ARG,2006,1,4,3,3,3
Argentina,ARG,2007,1,4,3,3,3
Argentina,ARG,2008,1,4,3,3,3
Argentina,ARG,2009,1,4,3,3,3
Argentina,ARG,2010,1,4,3,3,3
Argentina,ARG,2011,1,4,3,3,3
Argentina,ARG,2012,1,4,3,3,3
Argentina,ARG,2013,1,4,3,3,3
Argentina,ARG,2014,1,4,3,3,3
Argentina,ARG,2015,1,4,3,3,3
Argentina,ARG,2016,1,4,3,3,3
Argentina,ARG,2017,1,4,3,3,3
Argentina,ARG,2018,1,4,3,3,3
Argentina,ARG,2019,1,4,3,3,3
Argentina,ARG,2020,1,4,4,4,4
Argentina,ARG,2021,1,4,4,4,4
Armenia,ARM,1991,5,4,3,4,2
